Unemployment,Unemployment actual,RealGDP,RealGDP actual,Core CPI,Core CPI actual,Core PCE,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE
Unemployment,9.60833333333333,RealGDP,2.52597,Core CPI,0.645572526463334,Core PCE,2.009623,9.601738,2.5368268,1.5152336,1.8785521,9.608333333333347,2.4785414999999924,1.3536564569214216,1.91855996397658
Unemployment,8.93333333333333,RealGDP,-3.48626,Core CPI,1.742585,Core PCE,1.52903905586508,9.19718,2.6140418,1.8024939,1.6544902,9.035000000000005,2.5626684416666716,1.758567876538727,1.5403958095491928
Unemployment,7.35833333333333,RealGDP,3.51321,Core CPI,1.633581,Core PCE,2.25317372895313,7.835284,3.4988482,1.7336079,2.0192094,7.4761574074074195,3.5090960000000004,1.6818411285745882,2.1982439375558616
Unemployment,8.108333,RealGDP,4.44722,Core CPI,1.72314678876611,Core PCE,1.821892,7.4089866,4.445154,1.8804705,1.8999605,7.793008938888871,4.448715812500007,1.8239852678453854,1.7641393749999976
Unemployment,8.075,RealGDP,2.99646,Core CPI,1.99419965387277,Core PCE,1.92555704965729,7.9034553,2.6608615,1.8319795,1.9109367,7.874444442592614,2.5035651339556275,1.8712943084491198,1.9245734548867286
Unemployment,4.35,RealGDP,2.99646,Core CPI,0.645572526463334,Core PCE,1.382284,4.4877,2.5286021,0.70569056,1.5389326,4.364276899647276,2.7835545818452427,0.7492320683888803,1.395552999999999
Unemployment,9.60833333333333,RealGDP,3.07551,Core CPI,2.31034482758621,Core PCE,1.80752567718949,9.581181,3.1506352,2.2917912,1.8808707,9.608333333333347,3.0678010625000054,2.310344827586214,1.84490227847096
Unemployment,6.15833333333333,RealGDP,1.55083,Core CPI,0.645572526463334,Core PCE,1.92555704965729,6.1483727,1.9131756,0.57834786,1.8583031,6.158333333333309,1.8404347500000007,0.6787120361887529,1.8447453716861317
Unemployment,5.275,RealGDP,1.71142,Core CPI,1.633581,Core PCE,1.647664,5.25399,1.938747,1.7006645,1.755784,5.246231481481468,1.7653791250000002,1.6412409600000006,1.6727908166666656
Unemployment,9.60833333333333,RealGDP,1.84208,Core CPI,1.633581,Core PCE,1.92555704965729,9.631586,1.6916766,2.1221905,1.6900333,9.608333333333347,1.7438786500000014,2.1401706850965083,1.8761597045548095
Unemployment,5.275,RealGDP,-0.13658,Core CPI,1.633581,Core PCE,0.923599155883825,5.3229837,-0.22106825,1.6235723,1.0699013,5.222175925925913,-0.1365799999999998,1.6335810000000008,0.948825818383043
Unemployment,0.0,RealGDP,0.99835,Core CPI,8.108333,Core PCE,1.1841665165822,-0.015111375,1.0046194,8.052408,1.4440045,0.1432407277777778,1.0680390624999982,8.108333000000009,1.3402826634301712
Unemployment,4.875,RealGDP,4.12748,Core CPI,1.72314678876611,Core PCE,1.664742,4.8972225,4.414293,1.9288552,1.703463,4.861388888888889,4.452606124999999,1.862214188748461,1.691199007068359
Unemployment,3.683333,RealGDP,1.84208,Core CPI,2.191476,Core PCE,1.80752567718949,2.0799916,2.0238216,2.2413623,1.7323905,2.1636572611111125,2.0934499375000013,2.267780689999997,1.7820492047211094
Unemployment,6.15833333333333,RealGDP,3.52244,Core CPI,2.191476,Core PCE,2.009623,6.2368345,3.5549097,2.131629,1.8218268,6.158333333333309,3.5224400000000022,2.171327163856878,1.7705110416666656
Unemployment,9.60833333333333,RealGDP,4.44722,Core CPI,1.99419965387277,Core PCE,1.55932373235605,9.576035,4.3429055,1.9785511,1.578055,9.606527777777792,4.409267000000008,1.9469774887739382,1.5343388742509987
Unemployment,0.0,RealGDP,2.16118,Core CPI,0.0,Core PCE,1.57823742497407,0.91871274,2.0828087,0.00888207,1.5203574,1.3195138805555564,2.1341652500000015,0.0,1.5675749132369898
Unemployment,4.35,RealGDP,2.16118,Core CPI,2.31034482758621,Core PCE,2.009623,4.221855,2.7287674,2.3692946,1.7783017,4.321967588888901,2.8075076666666736,2.304128211718918,1.8893703333333336
Unemployment,8.108333,RealGDP,1.87618,Core CPI,2.191476,Core PCE,1.52903905586508,8.257608,1.8346335,2.200853,1.4412649,7.969027451851832,1.8761799999999997,2.2764154882627916,1.4883251242888924
Unemployment,4.35,RealGDP,4.75324,Core CPI,1.99419965387277,Core PCE,2.009623,4.614695,4.680775,1.9954269,1.895689,4.530607638888899,4.732852750000004,1.9941996538727744,1.9823199208333362
Unemployment,8.93333333333333,RealGDP,-2.53676,Core CPI,2.18235875482555,Core PCE,1.45028728412906,8.885502,-2.4599895,2.1725252,1.469215,8.933333333333339,-2.536760000000002,2.09834759673679,1.4502872841290573
Unemployment,0.0,RealGDP,2.85497,Core CPI,2.290573,Core PCE,8.108333,0.16612694,3.0986712,2.2415779,7.9066496,2.002499916666667,2.897895562499994,2.265383359999997,8.10833300000001
Unemployment,3.89166666666667,RealGDP,-0.13658,Core CPI,2.17432412557292,Core PCE,1.1841665165822,4.0047565,-0.45341185,2.1618874,1.3870516,3.902592594396749,-0.4216013750000003,2.1242205648503454,1.390410111431014
Unemployment,8.93333333333333,RealGDP,1.71142,Core CPI,2.182359,Core PCE,2.25317372895313,8.668769,1.7750162,2.178835,1.8293512,8.897546296296301,1.7173015625000012,2.1823589995748636,1.6865295650655177
Unemployment,8.075,RealGDP,2.16118,Core CPI,1.99951403422141,Core PCE,1.382284,8.850355,2.581212,1.9376899,2.4160697,8.946342592592599,2.499798500000004,1.9916443511284176,1.384495499999999
Unemployment,8.075,RealGDP,2.33268,Core CPI,1.99951403422141,Core PCE,1.55932373235605,8.188307,2.679755,2.0833497,1.8087896,8.075000000000026,2.863523562500006,2.083438348429909,1.6171445654058099
Unemployment,0.0,RealGDP,0.0,Core CPI,2.290573,Core PCE,1.1841665165822,0.20220289,0.0024379755,2.2403388,1.434092,0.0,0.0,2.2774331599999966,1.3527096693618759
Unemployment,4.35,RealGDP,0.0,Core CPI,1.7271000610448,Core PCE,1.45028728412906,4.2856708,-0.018535241,1.8625882,1.4104006,4.418240744444455,0.0,1.889101196051692,1.2107785933368835
