DATE,GDPC1_PCH,GNP_PCH,GNPC96_PCH,CPILFESL,PCEPILFE,JHDUSRGDPBR,UNRATE,banana,beef,bread,chicken,coffee,eggs,electricity,flour,rice,unleadedGasoline
1978-01-01,0.31918,1.9154,0.4564,63.43333333333333,34.047,0.0,6.333333333333333,,,,,,,,,,
1978-04-01,3.86425,5.64213,3.65338,64.73333333333333,34.63433333333333,0.0,6.0,,,,,,,,,,
1978-07-01,1.00552,2.78938,1.07318,66.13333333333333,35.22833333333333,0.0,6.033333333333333,,,,,,,,,,
1978-10-01,1.34415,3.54301,1.46494,67.6,35.86066666666667,0.0,5.9,,,,,,,,,,
1979-01-01,0.17978,2.02875,0.2028299999999999,69.16666666666666,36.35133333333333,0.0,5.866666666666666,,,,,,,,,,
1979-04-01,0.10693,2.68026,0.2307199999999999,70.8,37.15,1.0,5.7,,,,,,,,,,
1979-07-01,0.74287,3.16561,0.95944,72.63333333333333,37.83566666666666,1.0,5.866666666666666,,,,,,,,,,
1979-10-01,0.2500699999999999,2.09797,0.23663,74.83333333333333,38.62533333333333,1.0,5.966666666666667,,,,,,,,,,
1980-01-01,0.3145199999999999,2.4435,0.33507,77.6,39.57,1.0,6.3,0.3396666666666666,,0.5033333333333333,0.6756666666666667,3.238,0.8216666666666667,0.05466666666666667,0.20633333333333334,0.48699999999999993,1.1966666666666665
1980-04-01,-2.06048,0.18855,-2.1367700000000003,80.2,40.455,1.0,7.333333333333333,0.35266666666666663,,0.5046666666666667,0.6353333333333334,3.1966666666666668,0.755,0.059,0.20766666666666667,0.5139999999999999,1.2663333333333335
1980-07-01,-0.11885,2.03779,-0.1923,81.4,41.355666666666664,0.0,7.666666666666665,0.334,,0.5096666666666666,0.7506666666666666,3.207333333333333,0.8603333333333333,0.06433333333333334,0.21433333333333335,0.5193333333333333,1.265
1980-10-01,1.86493,4.26117,1.61283,83.93333333333332,42.36366666666667,0.0,7.4,0.341,,0.5173333333333333,0.7726666666666667,2.9279999999999995,0.9383333333333334,0.062,0.21133333333333335,0.5260000000000001,1.2526666666666666
1981-01-01,1.95944,4.69549,2.00545,85.9,43.303,0.0,7.433333333333333,0.36200000000000004,,0.534,0.7543333333333333,2.6430000000000002,0.914,0.064,0.221,0.5559999999999999,1.3656666666666666
1981-04-01,-0.7410800000000001,1.17049,-0.79276,87.8,44.121333333333325,1.0,7.4,0.375,,0.5223333333333334,0.719,2.5389999999999997,0.864,0.068,0.22666666666666668,0.573,1.4009999999999998
1981-07-01,1.19752,3.15604,1.24653,90.76666666666665,44.934,1.0,7.4,0.3499999999999999,,0.5213333333333333,0.749,2.488,0.8809999999999999,0.074,0.22766666666666668,0.5726666666666665,1.3780000000000001
1981-10-01,-1.08955,0.76349,-0.95212,92.53333333333332,45.73266666666667,1.0,8.233333333333333,0.361,,0.523,0.7046666666666667,2.4386666666666668,0.9356666666666666,0.07133333333333332,0.22166666666666668,0.5503333333333335,1.3683333333333334
1982-01-01,-1.55354,-0.24569,-1.5975700000000002,93.66666666666666,46.40266666666666,1.0,8.833333333333332,0.36533333333333334,,0.5323333333333334,0.7176666666666667,2.5303333333333335,0.9613333333333333,0.07366666666666666,0.22433333333333336,0.536,1.3253333333333333
1982-04-01,0.4562,1.89125,0.58758,95.4,47.03033333333333,1.0,9.433333333333332,0.37766666666666665,,0.5266666666666667,0.7213333333333333,2.5596666666666668,0.8403333333333333,0.07633333333333332,0.225,0.5036666666666667,1.257
1982-07-01,-0.3823,0.84346,-0.56684,97.0,47.784,0.0,9.9,0.3396666666666666,,0.5346666666666667,0.7233333333333333,2.511333333333333,0.827,0.079,0.22733333333333336,0.49366666666666664,1.3203333333333334
1982-10-01,0.0399399999999999,1.03797,-0.0001699999999999,97.33333333333331,48.449666666666666,0.0,10.666666666666666,0.33266666666666667,,0.535,0.6920000000000001,2.4939999999999998,0.8386666666666667,0.07533333333333332,0.21766666666666667,0.48566666666666664,1.2793333333333334
1983-01-01,1.31785,2.06043,1.29283,97.93333333333331,49.08633333333333,0.0,10.366666666666665,0.347,,0.543,0.6953333333333332,2.5083333333333333,0.8170000000000001,0.07533333333333332,0.214,0.4756666666666667,1.1896666666666667
1983-04-01,2.27561,3.08271,2.31779,98.9,49.46133333333333,0.0,10.133333333333333,0.4343333333333333,,0.5406666666666667,0.6873333333333332,2.4650000000000003,0.8383333333333333,0.07766666666666666,0.21733333333333335,0.46900000000000003,1.2503333333333335
1983-07-01,1.99907,3.08268,1.99846,100.13333333333333,50.212666666666664,0.0,9.366666666666665,0.41966666666666663,,0.5396666666666667,0.7443333333333334,2.4476666666666667,0.8896666666666665,0.082,0.22433333333333336,0.47266666666666673,1.2823333333333333
1983-10-01,2.08622,2.88003,2.10371,101.43333333333332,50.61433333333333,0.0,8.533333333333333,0.3423333333333333,,0.543,0.7716666666666668,2.4410000000000003,1.0296666666666667,0.078,0.21566666666666667,0.47533333333333333,1.2423333333333335
1984-01-01,1.95477,2.8872400000000003,1.85468,102.83333333333331,51.126,0.0,7.866666666666665,0.3633333333333333,1.3126666666666666,0.542,0.8513333333333333,2.529,1.2593333333333334,0.07866666666666666,0.215,0.48166666666666663,1.2116666666666667
1984-04-01,1.7277900000000002,2.58666,1.71642,104.1,51.72433333333333,0.0,7.433333333333333,0.37799999999999995,1.3003333333333333,0.5396666666666666,0.824,2.571333333333333,1.052,0.08233333333333333,0.21566666666666667,0.47300000000000003,1.2306666666666668
1984-07-01,0.96406,1.83997,0.94529,105.4,52.21033333333333,0.0,7.433333333333333,0.36599999999999994,1.2656666666666665,0.541,0.8023333333333333,2.6106666666666665,0.8633333333333333,0.08666666666666667,0.21533333333333335,0.4803333333333333,1.2036666666666667
